"","index","avsalary"
"1",1065,NA
"2",1357,NA
"3",1631,NA
"4",776,NA
"5",717,51723.839305472
"6",2145,NA
"7",573,NA
"8",1611,NA
"9",3072,44280.7767832825
"10",3251,NA
"11",105,49770.8030820763
"12",106,49770.8030820763
"13",5,53721.3887392914
"14",415,53429.6219822961
"15",3273,57879.951934896
"16",2531,NA
"17",700,NA
"18",1100,NA
"19",771,57628.7360842814
"20",240,63496.1142497988
"21",450,60893.5649846655
"22",2776,NA
"23",3426,49837.0119646753
"24",2347,NA
"25",40,NA
"26",171,62959.2684592266
"27",2326,56493.8174269517
"28",3501,NA
"29",3175,NA
"30",3446,46475.1595
"31",3232,NA
"32",1163,45201.7763133644
"33",1162,45201.7763133644
"34",2656,NA
"35",1060,NA
"36",374,48599.1955988537
"37",213,47924.4162945785
"38",2013,NA
"39",21,57171.6457073602
"40",1144,48627.3850839912
"41",1116,54073.0625303908
"42",1237,38607.211075
"43",3051,40660.02422
"44",723,46576.74015085
"45",2711,37968.835075
"46",2406,39483.618286125
"47",1212,49001.4777088262
"48",63,62495.3872859018
"49",62,62495.3872859018
"50",1635,NA
"51",1634,NA
"52",43,NA
"53",242,59710.4524134408
"54",621,NA
"55",622,NA
"56",2161,NA
"57",1274,NA
"58",523,56774.8134031243
"59",524,56774.8134031243
"60",2157,60622.5600502311
"61",1010,56649.8375397833
"62",714,NA
"63",2160,60622.5600502311
"64",3510,NA
"65",1011,56649.8375397833
"66",631,NA
"67",1461,NA
"68",127,49770.8030820763
"69",2570,43013.37797976
"70",1307,NA
"71",1305,NA
"72",1637,NA
"73",1463,NA
"74",1306,NA
"75",1310,NA
"76",1636,NA
"77",300,NA
"78",2241,40028.323880425
"79",3451,NA
"80",562,39773.40129275
"81",3452,NA
"82",3056,52408.3238563501
"83",2355,NA
"84",2307,NA
"85",2310,NA
"86",455,60335.4232110445
"87",456,60335.4232110445
"88",250,NA
"89",632,NA
"90",1105,NA
"91",2742,45350.1633938425
"92",2743,45350.1633938425
"93",3213,NA
"94",2060,NA
"95",150,48469.0296384718
"96",502,43776.63015085
"97",113,42458.9693335
"98",3125,43020.62172
"99",1126,46944.1400446022
"100",3465,NA
"101",1444,NA
"102",334,48599.1955988537
"103",1127,46944.1400446022
"104",2552,43825.4071365225
"105",1035,41325.41308275
"106",222,45567.9365576363
"107",1066,49919.3183684001
"108",570,50071.338154561
"109",1,53721.3887392914
"110",3506,NA
"111",2166,43968.9843421067
"112",1231,43691.8395576364
"113",3142,40147.22922
"114",1317,49419.5307305512
"115",1555,47536.5246171067
"116",571,50071.338154561
"117",2111,NA
"118",1477,NA
"119",3310,36988.52875
"120",720,48719.3482770915
"121",2046,NA
"122",2142,47838.325679561
"123",2753,41141.20547
"124",2021,NA
"125",1765,39761.001525
"126",663,53728.9711646281
"127",3327,NA
"128",652,53728.9711646281
"129",1614,49565.57350244
"130",653,53728.9711646281
"131",107,49770.8030820763
"132",3117,NA
"133",2756,NA
"134",343,57049.0318916891
"135",1775,45642.4216343573
"136",1514,NA
"137",1513,NA
"138",3317,37853.7725
"139",2500,46155.6323998562
"140",2477,46155.6323998562
"141",3316,37853.7725
"142",2366,NA
"143",2113,NA
"144",70,NA
"145",3240,50315.331864933
"146",1340,50266.05284225
"147",71,NA
"148",1544,48648.1800712393
"149",423,53429.6219822961
"150",3266,57879.951934896
"151",666,NA
"152",2530,49772.2187998672
"153",3245,NA
"154",1244,46345.3751165963
"155",3233,NA
"156",1272,51171.9945193872
"157",1273,51171.9945193872
"158",522,47954.1811671067
"159",520,47954.1811671067
"160",1166,55553.1047208683
"161",1002,54751.259299433
"162",3430,47028.12765085
"163",1104,NA
"164",521,47954.1811671067
"165",2156,53248.259591933
"166",235,NA
"167",624,NA
"168",173,NA
"169",447,52833.3376340658
"170",3443,45320.4936412525
"171",2346,NA
"172",42,NA
"173",2217,NA
"174",2345,NA
"175",445,52833.3376340658
"176",163,49320.5152278379
"177",441,52855.2784895024
"178",230,58942.310372105
"179",1563,49904.6732068396
"180",14,57171.6457073602
"181",321,52404.569126185
"182",1141,48627.3850839912
"183",1456,NA
"184",1475,NA
"185",1350,49729.9543939364
"186",122,47001.9475421067
"187",616,60097.7788819445
"188",1750,51340.4669767
"189",512,53677.0395371995
"190",511,53677.0395371995
"191",442,52855.2784895024
"192",513,53677.0395371995
"193",2211,NA
"194",764,55209.6355738754
"195",1075,54073.0625303908
"196",765,55209.6355738754
"197",1117,NA
"198",2017,NA
"199",1670,NA
"200",1223,46251.06441359
"201",1410,50072.865289561
"202",434,NA
"203",3347,37156.9475
"204",3346,37156.9475
"205",1542,NA
"206",323,49440.8628078025
"207",2222,47061.354168225
"208",3350,37156.9475
"209",16,57278.0864011757
"210",443,50249.0033812872
"211",3315,37853.7725
"212",270,42897.3448353675
"213",3010,NA
"214",1662,NA
"215",1675,41646.75283525
"216",2050,NA
"217",3467,NA
"218",3301,36988.52875
"219",3300,36988.52875
"220",2103,NA
"221",1720,NA
"222",1071,NA
"223",315,47498.6727703415
"224",372,48599.1955988537
"225",2553,43825.4071365225
"226",1230,43691.8395576364
"227",1131,46944.1400446022
"228",1363,49419.5307305512
"229",734,48719.3482770915
"230",7,53721.3887392914
"231",505,43776.63015085
"232",3201,43023.2193286874
"233",1054,54959.1203718781
"234",1055,54959.1203718781
"235",241,59710.4524134408
"236",1420,41276.03797
"237",1004,53582.6556015703
"238",1005,53582.6556015703
"239",1531,48648.1800712393
"240",257,NA
"241",414,53429.6219822961
"242",3260,57879.951934896
"243",32,NA
"244",1517,NA
"245",3272,57879.951934896
"246",2740,45350.1633938425
"247",153,NA
"248",2726,NA
"249",3075,44280.7767832825
"250",225,45567.9365576363
"251",1233,43691.8395576364
"252",1653,NA
"253",1130,46944.1400446022
"254",755,53988.7320825198
"255",351,57049.0318916891
"256",1556,47536.5246171067
"257",3020,NA
"258",2,53721.3887392914
"259",572,50071.338154561
"260",3403,39731.294025
"261",503,43776.63015085
"262",2754,41141.20547
"263",1036,41325.41308275
"264",223,45567.9365576363
"265",151,48469.0296384718
"266",715,51723.839305472
"267",3423,NA
"268",2167,43968.9843421067
"269",3404,39731.294025
"270",3313,36988.52875
"271",3145,40147.22922
"272",3146,40147.22922
"273",2000,NA
"274",2043,NA
"275",3016,NA
"276",575,NA
"277",1714,40028.32297
"278",2104,NA
"279",3407,NA
"280",1644,42645.592775
"281",3137,42155.4613
"282",2016,NA
"283",1665,47199.37765085
"284",2005,45642.4216343573
"285",2006,NA
"286",2004,39761.001525
"287",350,57049.0318916891
"288",567,NA
"289",2476,NA
"290",2206,47061.354168225
"291",3203,43023.2193286874
"292",3015,NA
"293",3013,NA
"294",3014,NA
"295",3244,NA
"296",77,57171.6457073602
"297",1146,48627.3850839912
"298",301,58942.310372105
"299",515,53677.0395371995
"300",1123,54073.0625303908
"301",3230,49008.3249171068
"302",1745,51340.4669767
"303",220,49320.5152278379
"304",123,47001.9475421067
"305",2123,41201.49375
"306",642,60097.7788819445
"307",1352,49729.9543939364
"308",1524,NA
"309",514,53677.0395371995
"310",644,NA
"311",427,NA
"312",1421,NA
"313",3434,41315.5271839
"314",3152,NA
"315",1457,NA
"316",302,58942.310372105
"317",215,NA
"318",444,52855.2784895024
"319",2520,38236.32
"320",2666,NA
"321",661,NA
