Column1,Column3,Column7
,,
領域 學門,學類,學類
Broad field Narrow field,Detailed field,Detailed field
01 教育領域,,
011教育學門,,
,0111教育學學類,
,,1401綜合教育學類
,,1405成人教育學類
,,1406特殊教育學類
,,1407教育行政學類
,,
,,1408教育科技學類
,,1409教育測驗評量學類
,,
,0112幼兒師資教育學類,
,,1404學前教育學類
,0113普通科目師資教育學類,
,,1402普通科目教育學類
,0114專業科目師資教育學類,
,,1403專業科目教育學類
,,
領域 學門,學類,學類
Broad field Narrow field,Detailed field,Detailed field
,0119其他教育學類,
,,1499其他教育學類
02 藝術及人文領域,,
021藝術學門,,
,0211視聽技術及媒體製作學類,
,,2106視覺藝術學類
,,2302視覺傳達設計學類(原 23 設計學門)
,0212時尚、室內設計及工業設計學類,
,,2109應用藝術學類
,,2301綜合設計學類(原 23設計學門)
,,2303產品設計學類(原 23設計學門)
,,2304空間設計學類(原 23設計學門)
,,8107服飾學類(原 81民生學門)
,0213美術學類,
,,2101美術學類
,,2102雕塑藝術學類
,0214手工藝學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,2103美術工藝學類
,,2108民俗藝術學類
,0215音樂及表演藝術學類,
,,2104音樂學類
,,2105戲劇舞蹈學類
,0219其他藝術學類,
,,2107綜合藝術學類
,,2110藝術行政學類
,,2399其他設計學類(原 23設計學門)
,,
,0221宗教學類,
,,2208宗教學類
,0222歷史及考古學學類,
,,2209歷史學類
,,2210人類學學類 、3104民族學類
,,2212文獻學學類
,0223哲學學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,2211哲學學類
,0229其他人文學類,
,,2299其他人文學類
,,
,0231外國語文學學類,
,,2203外國語文學類 、2206比較文學學類
,,2205翻譯學類
,,
,0232本國語文學學類,
,,2201臺灣語文學類
,,2202中國語文學類
,,
,0239其他語文學類,
,,2204其他語文學類、2207語言學類
03 社會科學、新聞學及圖書資訊領域,,
,,
,0311經濟學學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,3101經濟學類
,0312政治學及相關學類,
,,3102政治學類
,,3109國際事務學類
,0313心理學學類,
,,3105心理學類
,0314社會學及相關學類,
,,3103社會學類
,,3106地理學類
,,3107區域研究學類
,0319其他社會及行為科學學類,
,,
,,3110綜合社會及行為科學學類
,,
,0321新聞學及傳播相關學類,
,,3201一般大眾傳播學類
,,3202新聞學類
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,3203廣播電視學類
,,3207圖文傳播學類
,0322圖書館、資訊及檔案研究學類,
,,3205博物館學類
,,3206圖書資訊檔案學類
,0329其他新聞學及圖書資訊學類,
,,3299其他傳播及資訊學類
04 商業、管理及法律領域,,
,,
,0411會計及稅務學類,
,,3402會計學類
,0412金融、銀行業及保險學類,
,,3405財務金融學類
,,3407財政學類
,,3406風險管理學類
,0413管理及行政學類,
,,3403企業管理學類
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,3408行銷與流通學類(不含行銷)
,,3409醫管學類
,,3108公共行政學類(原 31社會及行為科學學
,,
,0414國際貿易、市場行銷及廣告學類,
,,3404貿易學類
,,3204公共關係學類(原 32傳播學門)
,,3208廣告學類(原 32傳播學門)
,,3408行銷與流通學類(不含流通)
,0416批發及零售學類,
,,
,0419其他商業及管理學類,
,,3401一般商業學類
,,3499其他商業及管理學類
,,
,0421法律學類,
,,3801一般法律學類
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,3802專業法律學類
,0429其他法律學類,
,,3899其他法律學類
05 自然科學、數學及統計領域,,
,,
,0511生物學學類,
,,4201生物學類
,0512生物化學及相關學類,
,,4203生物科技學類
,,4204微生物學類
,,4205生物化學學類
,,4206生物訊息學類
,0519其他生命科學學類,
,,7205營養學類(原 72醫藥衛生學門)
,,4299其他生命科學類
,,
,0521環境科學學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,8501環境資源學類
,,4202生態學類(原 42生命科學學門)
,0522自然環境及野生動物學類,
,,
,0529其他環境學類,
,,8502環境防災學類
,,6207水土保持學類(原 62農業學門)
,,8599其他環境保護學類
,,
,0531化學學類,
,,4401化學學類
,0532地球科學學類,
,,4402地球科學學類
,,4404大氣科學學類
,,4406天文及太空科學學類(不含天文)
,,4405海洋科學學類
,0533物理學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,4403物理學類
,,4406天文及太空科學學類(不含太空科學)
,0539其他物理、化學及地球科學學類,
,,4499其他自然科學學類
,,
,,
,0541數學學類,
,,4601數學學類
,0542統計學類,
,,4602統計學類
,0549其他數學及統計學類,
,,4699其他數學及統計學類
06 資訊通訊科技領域,,
,,
,0611電腦運用學類,
,,
,0612資料庫、網路設計及管理學類,
,,第 4次修正
領域,學類,
Broad field,Detailed field,
,,
,0613軟體及應用的開發與分析學類,
,,
,,
,,
,,
,0619其他資訊通訊科技學類,
,,
07 工程、製造及營建領域,,
,,
,0711化學工程及製程學類,
,,
,,
,0712環境保護科技學類,
,,
,,
,0713電力及能源學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,5212核子工程學類
,,
,0714電機與電子工程學類,
,,5201電資工程學類
,0715機械工程學類,
,,5202機械工程學類
,0716機動車輛、船舶及飛機學類,
,,
,,
,,
,0719其他工程及工程業學類,
,,5206工業工程學類
,,5207紡織工程學類
,,5211生醫工程學類
,,5213綜合工程學類
,,5299其他工程學類
,,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,0721食品科學學類,
,,6206食品科學類
,0723紡織品學類,
,,
,0724採礦及提煉學類,
,,
,,
,0731建築學及城鎮規劃學類,
,,5801建築學類
,,5802景觀設計學類
,,5803都巿規劃學類
,0732營建及土木工程學類,
,,5203土木工程學類(原 52工程學門)
,,5208測量工程學類(原 52工程學門)
,0739其他建築及營建工程學類,
,,5899其他建築及都巿規劃學類
08 農業、林業、漁業及獸醫領域,,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,
,0811農作物及畜牧生產學類,
,,6201一般農業學類
,,6202畜牧學類
,0812園藝學類,
,,6203園藝學類
,0819其他農業學類,
,,6208農業化學類
,,6209農業技術學類
,,6205農業經濟及推廣學類
,,6204植物保護學類
,,6299其他農林漁牧學類
,,
,0821林業學類,
,,6210林業學類
,,
,0831漁業學類,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,6211漁業學類
,,
,,
,0841獸醫學類,
,,6401獸醫學類
09 醫藥衛生及社會福利領域,,
,,
,0911牙醫學類,
,,7208牙醫學類
,0912醫學學類,
,,7201醫學學類
,0913護理及助產學類,
,,7206護理學類
,0914醫學技術及檢驗學類,
,,7207醫學技術及檢驗學類
,0915治療及復健學類,
,,
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,,
,,
,,7204復健醫學學類
,0916藥學學類,
,,7203藥學學類
,0917傳統醫學、輔助醫學及治療學類,
,,
,0919其他醫藥衛生學類,
,,7202公共衛生學類
,,7299其他醫藥衛生學類
,,
,0921老年人及失能成人照顧學類,
,,7602老年服務學類
,,7601身心障礙服務學類
,0922兒童及青少年照顧服務學類,
,,7604兒童保育學類
,0923社會工作學類,
,,
領域 學門,學類,學類
Broad field Narrow field,Detailed field,Detailed field
,,7603社會工作學類
,0929其他社會福利學類,
,,7699其他社會服務學類
10 服務領域,,
101餐旅及民生服務學門,,
,1011家政服務學類,
,,8106生活應用科學學類
,1012美髮美容服務學類,
,,8108美容學類
,1013旅館及餐飲學類,
,,8101餐旅服務學類
,1014運動學類,
,,8103競技運動學類
,,8104運動科技學類
,1015旅遊觀光及休閒學類,
,,8102觀光休閒學類
,,8105運動休閒及休閒管理學類
,,
領域,學類,學類
Broad field,Detailed field,Detailed field
,1019其他餐旅及民生服務學類,
,,8199其他民生學類
,,
,1022職業衛生及安全學類,
,,
,,
,1032警政學類,
,,8601警政學類
,,
,,8602軍事學類
,,
,,8699其他軍警國防安全學類
,,
,1041運輸服務學類,
,,8401運輸管理學類
,,
,,8402航空學類
,,
領域 學門,學類,學類
Broad field Narrow field,Detailed field,Detailed field
,,8403航海學類
,1049其他運輸服務學類,
,,8499其他運輸服務學類
99 其他領域,,
,,
,9999其他學類,
,,9901其他不能歸類之各學類
