Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
0001,國立臺灣大學,中國文學系,國x1.50 英x1.25 數乙x1.00 歷x1.25 地x1.00,25,494.48,---,511.84,---,---,---,---
0002,國立臺灣大學,外國語文學系,國x1.25 英x2.00 數乙x1.00 歷x1.00 地x1.00,52,531.30,---,607.99,---,---,---,---
0003,國立臺灣大學,歷史學系,國x1.00 英x1.00 歷x1.00 地x1.00 公x1.00,25,415.70,---,---,---,---,---,---
0004,國立臺灣大學,哲學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,15,405.55,---,414.11,---,---,---,---
0005,國立臺灣大學,人類學系,國x1.00 英x1.50 歷x1.00 地x1.00 公x1.00,22,457.58,---,462.85,---,---,---,---
0006,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 公x1.00,20,448.63,---,---,---,---,---,---
0007,國立臺灣大學,日本語文學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,24,500.70,---,---,---,---,---,---
0010,國立臺灣大學,戲劇學系(男),國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,10,481.45,---,---,---,---,---,---
0011,國立臺灣大學,戲劇學系(女),國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,10,490.38,---,492.19,---,---,---,---
0012,國立臺灣大學,數學系,英x1.00 數甲x1.50 物x1.00 化x1.00,17,345.60,---,---,---,---,---,---
0013,國立臺灣大學,物理學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,22,384.95,---,---,---,---,---,---
0014,國立臺灣大學,化學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,18,378.32,---,---,---,---,---,---
0015,國立臺灣大學,地質科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,14,350.75,---,---,---,---,---,---
0016,國立臺灣大學,心理學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,36,387.85,---,397.51,---,---,---,---
0017,國立臺灣大學,地理環境資源學系A組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,12,342.90,---,---,---,---,---,---
0020,國立臺灣大學,地理環境資源學系B組,國x1.00 英x1.00 數乙x1.00 歷x1.00 地x1.00,7,416.55,---,423.23,---,---,---,---
